% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	5	1	367.142	0
0.042	1	3	2	9607.96	0
0.043	1	1	3	8401.02	0
0.044	1	2	4	975.781	0
0.046	1	4	6	5161.31	0
0.081	1	5	1	886.396	0
0.082	1	3	2	6627.15	0
0.083	1	1	3	3027.81	0
0.084	1	2	4	1204.24	0
0.086	1	4	6	10090.5	0
0.121	1	5	1	3283.08	0
0.122	1	3	2	4271.68	0
0.123	1	1	3	4313.96	0
0.124	1	2	4	482.089	0
0.126	1	4	6	2232.3	0
0.161	1	5	1	2806.06	0
0.162	1	3	2	2944.08	0
0.163	1	1	3	2305.32	0
0.164	1	2	4	1548.71	0
0.166	1	4	6	1708.24	0
0.201	1	5	1	2982.81	0
0.202	1	3	2	2201.16	0
0.203	1	1	3	5935.59	0
0.204	1	2	4	1388.13	0
0.206	1	4	6	4662.31	0
0.241	1	5	1	10024.5	0
0.242	1	3	2	2155.14	0
0.243	1	1	3	7392.98	0
0.244	1	2	4	994.368	0
0.246	1	4	6	2142.53	0
0.281	1	5	1	11149.3	0
0.282	1	3	2	3803.13	0
0.283	1	1	3	7750.57	0
0.284	1	2	4	1691.23	0
0.286	1	4	6	1927.17	0
0.321	1	5	1	13913	0
0.322	1	3	2	4429.2	0
0.323	1	1	3	4978.99	0
0.324	1	2	4	1882.53	0
0.326	1	4	6	3534.27	0
0.361	1	5	1	24070.1	0
0.362	1	3	2	3251.16	0
0.363	1	1	3	4247.69	0
0.364	1	2	4	2064.16	0
0.366	1	4	6	2813.53	0
0.401	1	5	1	10732.9	0
0.402	1	3	2	3143.85	0
0.403	1	1	3	9415.04	0
0.404	1	2	4	1065.35	0
0.406	1	4	6	2571.28	0
0.441	1	5	1	10904.5	0
0.442	1	3	2	2555.39	0
0.443	1	1	3	4343.57	0
0.444	1	2	4	2465.51	0
0.446	1	4	6	1766.77	0
0.481	1	5	1	8842.96	0
0.482	1	3	2	2586.69	0
0.483	1	1	3	1519.04	0
0.484	1	2	4	3214.01	0
0.486	1	4	6	572.842	0
0.521	1	5	1	6425.69	0
0.522	1	3	2	11942.2	0
0.523	1	1	3	3846.52	0
0.524	1	2	4	2926.74	0
0.526	1	4	6	1856.46	0
0.561	1	5	1	15794.3	0
0.562	1	3	2	8676.86	0
0.563	1	1	3	6709.38	0
0.564	1	2	4	2786.95	0
0.566	1	4	6	1129.28	0
0.601	1	5	1	4765.87	0
0.602	1	3	2	7562.19	0
0.603	1	1	3	7842.34	0
0.604	1	2	4	1929.98	0
0.606	1	4	6	5396.13	0
