% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	5	3	2	2	0	81	0	0	0
0.022	1	2	3	3	4	0	81	0	0	0
0.023	1	1	3	4	1	0	81	0	0	0
0.024	1	5	3	5	2	0	81	0	0	0
0.025	1	3	3	6	3	0	81	0	0	0
0.026	1	2	3	7	4	28	2196	0	0	0
0.027	1	1	3	8	1	28	2196	0	0	0
0.028	1	3	3	9	3	28	2196	0	0	0
0.029	1	5	3	10	2	28	2196	0	0	0
0.03	1	2	4	1	4	28	2196	0	0	0
0.031	1	4	4	2	6	28	2196	0	0	0
0.032	1	1	4	3	1	28	2196	0	0	0
0.033	1	3	4	4	3	28	2196	0	0	0
0.034	1	5	4	5	2	28	2196	0	0	0
0.035	1	2	4	6	4	28	2196	0	0	0
0.036	1	3	4	7	3	28	2196	0	0	0
0.037	1	5	4	8	2	28	2196	0	0	0
0.038	1	2	4	9	4	28	2196	0	0	0
0.039	1	4	4	10	6	28	2196	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.041	1	3	5	2	3	28	2196	0	0	0
0.042	1	5	5	3	2	28	2196	0	0	0
0.043	1	2	5	4	4	28	2196	0	0	0
0.044	1	4	5	5	6	28	2196	0	0	0
0.045	1	1	5	6	1	28	2196	0	0	0
0.046	1	3	5	7	3	28	2196	0	0	0
0.047	1	1	5	8	1	28	2196	0	0	0
0.048	1	5	5	9	2	28	2196	0	0	0
0.049	1	2	5	10	4	28	2196	0	0	0
0.05	1	4	6	1	6	28	2196	0	0	0
0.051	1	3	6	2	3	28	2196	0	0	0
0.052	1	4	6	3	6	28	2196	0	0	0
0.053	1	1	6	4	1	28	2196	0	0	0
0.054	1	5	6	5	2	28	2196	0	0	0
0.055	1	4	6	6	6	28	2196	0	0	0
0.056	1	3	6	7	3	28	2196	0	0	0
0.057	1	5	6	8	2	28	2196	0	0	0
0.058	1	3	6	9	3	28	2196	0	0	0
0.059	1	1	6	10	1	28	2196	0	0	0
0.06	1	2	7	1	4	28	2196	0	0	0
0.061	1	4	7	2	6	28	2196	0	0	0
0.062	1	5	7	3	2	28	2196	0	0	0
0.063	1	1	7	4	1	28	2196	0	0	0
0.064	1	2	7	5	4	28	2196	0	0	0
0.065	1	3	7	6	3	28	2196	0	0	0
0.066	1	4	7	7	6	28	2196	0	0	0
0.067	1	2	7	8	4	28	2196	0	0	0
0.068	1	5	7	9	2	28	2196	0	0	0
0.069	1	3	7	10	3	28	2196	0	0	0
0.07	1	5	8	1	2	28	2196	0	0	0
0.071	1	1	8	2	1	28	2196	0	0	0
0.073	1	4	8	4	6	28	2196	0	0	0
0.074	1	2	8	5	4	28	2196	0	0	0
0.075	1	1	8	6	1	28	2196	0	0	0
0.076	1	3	8	7	3	28	2196	0	0	0
0.077	1	4	8	8	6	28	2196	0	0	0
0.078	1	2	8	9	4	28	2196	0	0	0
0.079	1	5	8	10	2	28	2196	0	0	0
0.08	1	1	9	1	1	28	2196	0	0	0
0.081	1	4	9	2	6	28	2196	0	0	0
0.082	1	3	9	3	3	28	2196	0	0	0
0.083	1	2	9	4	4	28	2196	0	0	0
0.084	1	5	9	5	2	28	2196	0	0	0
0.085	1	4	9	6	6	28	2196	0	0	0
0.086	1	1	9	7	1	28	2196	0	0	0
0.087	1	3	9	8	3	28	2196	0	0	0
0.088	1	2	9	9	4	28	2196	0	0	0
0.089	1	5	9	10	2	28	2196	0	0	0
0.09	1	4	10	1	6	28	2196	0	0	0
0.091	1	1	10	2	1	28	2196	0	0	0
0.092	1	3	10	3	3	28	2196	0	0	0
0.093	1	2	10	4	4	28	2196	0	0	0
0.094	1	4	10	5	6	28	2196	0	0	0
0.095	1	3	10	6	3	28	2196	0	0	0
0.096	1	5	10	7	2	28	2196	0	0	0
0.097	1	1	10	8	1	28	2196	0	0	0
0.098	1	2	10	9	4	28	2196	0	0	0
0.099	1	4	10	10	6	28	2196	0	0	0
0.1	1	3	11	1	3	28	2196	0	0	0
0.101	1	2	11	2	4	28	2196	0	0	0
0.102	1	4	11	3	6	28	2196	0	0	0
0.103	1	5	11	4	2	28	2196	0	0	0
0.104	1	1	11	5	1	28	2196	0	0	0
0.105	1	1	11	6	1	28	2196	0	0	0
