Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 0, 306, 46818, 0.00626745, 306, 46818, 0.006266, 0.0135108, 0.000403684, 0
2, 0, 299, 45747, 0.00612321, 299, 45747, 0.00612186, 0.0134897, 0.000370948, 0
3, 0, 294, 44982, 0.00602336, 294, 44982, 0.00602203, 0.0135321, 0.00035626, 0
4, 0, 313, 47889, 0.0064037, 312, 47736, 0.006393, 0.0135456, 0.000363901, 0
5, 0, 311, 47583, 0.00636984, 311, 47583, 0.00636845, 0.0135475, 0.000407218, 0
6, 0, 296, 45288, 0.00611732, 296, 45288, 0.00611595, 0.0135157, 0.000399306, 0
7, 0, 298, 45594, 0.00612365, 298, 45594, 0.00612229, 0.0134839, 0.000342569, 0
8, 0, 297, 45441, 0.00611448, 297, 45441, 0.0061131, 0.0135249, 0.00035758, 0
9, 0, 285, 43605, 0.00587288, 285, 43605, 0.00587151, 0.0135346, 0.000336388, 0
10, 0, 296, 45288, 0.00611187, 296, 45288, 0.00611053, 0.0134858, 0.000341385, 0
