% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	4.92498e-12	10382.8	0
0.00121428	1	1	0	4.7071e-12	10149.5	0
0.00221428	1	1	0	4.71039e-12	10154.3	0
0.00321428	1	1	0	4.71463e-12	10161.2	0
0.00421428	1	1	0	4.71836e-12	10167.3	0
0.00521428	1	1	0	4.7223e-12	10173.9	0
0.00621428	1	1	0	4.72637e-12	10180.9	0
0.00721428	1	1	0	4.72992e-12	10187	0
0.00821428	1	1	0	4.73419e-12	10194.7	0
0.00921428	1	1	0	4.73721e-12	10199.9	0
0.0102143	1	1	0	4.74152e-12	10207.9	0
0.0112143	1	1	0	4.74386e-12	10211.9	0
0.0122143	1	1	0	4.74786e-12	10219.6	0
0.0132143	1	1	0	4.74951e-12	10222.4	0
0.0142143	1	1	0	4.75255e-12	10228.2	0
0.0152143	1	1	0	4.75378e-12	10230.4	0
0.0162143	1	1	0	4.75567e-12	10234	0
0.0172143	1	1	0	4.75628e-12	10235	0
0.0182143	1	1	0	4.7568e-12	10236	0
0.0192143	1	1	0	4.75659e-12	10235.5	0
0.0202143	1	1	0	4.75561e-12	10233.5	0
0.0212143	1	1	1	4.75449e-12	10231.2	0
0.0222143	1	1	1	4.7518e-12	10225.7	0
0.0232143	1	1	1	4.74945e-12	10221	0
0.0242143	1	1	1	4.74477e-12	10211.5	0
0.0252143	1	1	1	4.74097e-12	10203.8	0
0.0262143	1	1	1	4.73412e-12	10189.7	0
0.0272143	1	1	1	4.72815e-12	10177.6	0
0.0282143	1	1	1	4.71947e-12	10159.7	0
0.0292143	1	1	1	4.71105e-12	10142.4	0
0.0302143	1	1	1	4.70048e-12	10120.6	0
0.0312143	1	1	1	4.68948e-12	10097.9	0
0.0322143	1	1	1	4.67691e-12	10071.9	0
0.0332143	1	1	1	4.66322e-12	10043.4	0
0.0342143	1	1	1	4.64854e-12	10012.9	0
0.0352143	1	1	1	4.63208e-12	9978.64	0
0.0362143	1	1	1	4.61525e-12	9943.55	0
0.0372143	1	1	1	4.59601e-12	9903.3	0
0.0382143	1	1	1	4.577e-12	9863.56	0
0.0392143	1	1	1	4.55497e-12	9817.34	0
0.0402143	1	1	1	4.53352e-12	9772.4	0
0.0412143	1	1	1	4.50906e-12	9720.95	0
0.0422143	1	1	1	4.48496e-12	9670.27	0
0.0432143	1	1	1	4.45853e-12	9614.55	0
0.0442143	1	1	1	4.43192e-12	9558.42	0
0.0452143	1	1	1	4.40366e-12	9498.71	0
0.0462143	1	1	1	4.37473e-12	9437.51	0
0.0472143	1	1	1	4.34483e-12	9374.18	0
0.0482143	1	1	1	4.31381e-12	9308.39	0
0.0492143	1	1	1	4.28248e-12	9241.91	0
0.0502143	1	1	1	4.24966e-12	9172.12	0
0.0512143	1	1	1	4.21716e-12	9103.01	0
0.0522143	1	1	1	4.18286e-12	9029.9	0
0.0532143	1	1	1	4.14948e-12	8958.8	0
0.0542143	1	1	1	4.11405e-12	8883.1	0
0.0552143	1	1	1	4.07968e-12	8809.7	0
0.0562143	1	1	1	4.04396e-12	8733.23	0
0.0572143	1	1	1	4.00898e-12	8658.35	0
0.0582143	1	1	1	3.97331e-12	8581.88	0
0.0592143	1	1	1	3.93813e-12	8506.39	0
0.0602143	1	1	1	3.90291e-12	8430.74	0
0.0612143	1	1	1	3.86796e-12	8355.58	0
0.0622143	1	1	1	3.83358e-12	8281.58	0
0.0632143	1	1	1	3.79931e-12	8207.69	0
0.0642143	1	1	1	3.76617e-12	8136.19	0
0.0652143	1	1	1	3.73301e-12	8064.52	0
0.0662143	1	1	1	3.7015e-12	7996.39	0
0.0672143	1	1	1	3.66991e-12	7927.88	0
0.0682143	1	1	1	3.64025e-12	7863.57	0
0.0692143	1	1	1	3.61082e-12	7799.54	0
0.0702143	1	1	1	3.5833e-12	7739.65	0
0.0712143	1	1	1	3.55653e-12	7681.22	0
0.0722143	1	1	1	3.53155e-12	7626.62	0
0.0732143	1	1	1	3.5078e-12	7574.55	0
0.0742143	1	1	1	3.48572e-12	7526.03	0
0.0752143	1	1	1	3.46532e-12	7481.05	0
0.0762143	1	1	1	3.4464e-12	7439.15	0
0.0772143	1	1	1	3.42948e-12	7401.56	0
0.0782143	1	1	1	3.41404e-12	7367.02	0
