% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
280	1	2	5	0	28	2196	0	1	0
326	1	5	3	0	28	2196	0	1	0
361	1	3	1	0	28	2196	0	1	0
418	1	5	3	0	28	2196	0	1	0
441	1	2	5	0	28	2196	0	1	0
544	1	5	3	0	28	2196	0	1	0
552	1	1	4	0	28	2196	0	1	0
575	1	2	5	0	28	2196	0	1	0
627	1	5	3	0	28	2196	0	1	0
631	1	3	1	0	28	2196	0	1	0
676	1	1	4	0	28	2196	0	1	0
733	1	3	1	0	28	2196	0	1	0
737	1	5	3	0	28	2196	0	1	0
778	1	3	1	0	28	2196	0	1	0
779	1	5	3	0	28	2196	0	1	0
934	1	2	5	0	28	2196	0	1	0
959	1	1	4	0	28	2196	0	1	0
966	1	4	2	0	28	2196	0	1	0
967	1	3	1	0	28	2196	0	1	0
997	1	3	1	0	28	2196	0	1	0
1107	1	1	4	0	28	2196	0	1	0
1127	1	5	3	0	28	2196	0	1	0
1236	1	5	3	0	28	2196	0	1	0
1250	1	4	2	0	28	2196	0	1	0
1252	1	3	1	0	28	2196	0	1	0
1300	1	2	5	0	28	2196	0	1	0
1345	1	1	4	0	28	2196	0	1	0
1420	1	3	1	0	28	2196	0	1	0
1434	1	1	4	0	28	2196	0	1	0
1509	1	5	3	0	28	2196	0	1	0
1537	1	2	5	0	28	2196	0	1	0
1601	1	3	1	0	28	2196	0	1	0
1632	1	2	5	0	28	2196	0	1	0
1647	1	4	2	0	28	2196	0	1	0
1682	1	3	1	0	28	2196	0	1	0
1771	1	3	1	0	28	2196	0	1	0
1817	1	1	4	0	28	2196	0	1	0
1860	1	5	3	0	28	2196	0	1	0
1877	1	3	1	0	28	2196	0	1	0
1898	1	3	1	0	28	2196	0	1	0
1962	1	3	1	0	28	2196	0	1	0
1997	1	4	2	0	28	2196	0	1	0
2003	1	1	4	0	28	2196	0	1	0
2048	1	5	3	0	28	2196	0	1	0
2091	1	3	1	0	28	2196	0	1	0
2127	1	3	1	0	28	2196	0	1	0
2180	1	2	5	0	28	2196	0	1	0
2270	1	4	2	0	28	2196	0	1	0
2315	1	1	4	0	28	2196	0	1	0
2320	1	5	3	0	28	2196	0	1	0
2412	1	4	2	0	28	2196	0	1	0
2415	1	5	3	0	28	2196	0	1	0
2503	1	3	1	0	28	2196	0	1	0
2519	1	5	3	0	28	2196	0	1	0
2529	1	2	5	0	28	2196	0	1	0
2575	1	3	1	0	28	2196	0	1	0
2611	1	4	2	0	28	2196	0	1	0
2713	1	4	2	0	28	2196	0	1	0
2714	1	3	1	0	28	2196	0	1	0
2751	1	1	4	0	28	2196	0	1	0
2784	1	5	3	0	28	2196	0	1	0
2918	1	4	2	0	28	2196	0	1	0
3058	1	5	3	0	28	2196	0	1	0
3060	1	2	5	0	28	2196	0	1	0
3091	1	4	2	0	28	2196	0	1	0
3107	1	2	5	0	28	2196	0	1	0
3139	1	3	1	0	28	2196	0	1	0
3140	1	2	5	0	28	2196	0	1	0
3231	1	2	5	0	28	2196	0	1	0
3275	1	2	5	0	28	2196	0	1	0
3285	1	1	4	0	28	2196	0	1	0
3464	1	5	3	0	28	2196	0	1	0
3505	1	1	4	0	28	2196	0	1	0
3523	1	4	2	0	28	2196	0	1	0
3574	1	1	4	0	28	2196	0	1	0
3597	1	4	2	0	28	2196	0	1	0
3647	1	4	2	0	28	2196	0	1	0
3675	1	5	3	0	28	2196	0	1	0
3709	1	3	1	0	28	2196	0	1	0
3865	1	5	3	0	28	2196	0	1	0
3873	1	1	4	0	28	2196	0	1	0
3881	1	3	1	0	28	2196	0	1	0
3892	1	2	5	0	28	2196	0	1	0
3954	1	2	5	0	28	2196	0	1	0
3974	1	4	2	0	28	2196	0	1	0
4045	1	1	4	0	28	2196	0	1	0
4046	1	2	5	0	28	2196	0	1	0
4127	1	2	5	0	28	2196	0	1	0
4253	1	2	5	0	28	2196	0	1	0
4258	1	3	1	0	28	2196	0	1	0
4312	1	4	2	0	28	2196	0	1	0
4340	1	5	3	0	28	2196	0	1	0
4410	1	3	1	0	28	2196	0	1	0
4444	1	1	4	0	28	2196	0	1	0
4468	1	2	5	0	28	2196	0	1	0
4469	1	1	4	0	28	2196	0	1	0
4502	1	1	4	0	28	2196	0	1	0
4626	1	5	3	0	28	2196	0	1	0
4645	1	2	5	0	28	2196	0	1	0
4717	1	1	4	0	28	2196	0	1	0
4836	1	2	5	0	28	2196	0	1	0
4858	1	5	3	0	28	2196	0	1	0
4948	1	1	4	0	28	2196	0	1	0
